year,month,decimal date,average,interpolated,trend,ndays
1958,3,1958208,315.71,315.71,314.62,-1
1958,4,1958292,317.45,317.45,315.29,-1
1958,5,1958375,317.50,317.50,314.71,-1
1958,6,1958458,-99.99,317.10,314.85,-1
1958,7,1958542,315.86,315.86,314.98,-1
1958,8,1958625,314.93,314.93,315.94,-1
1958,9,1958708,313.20,313.20,315.91,-1
1958,10,1958792,-99.99,312.66,315.61,-1
1958,11,1958875,313.33,313.33,315.31,-1
1958,12,1958958,314.67,314.67,315.61,-1
1959,1,1959042,315.62,315.62,315.70,-1
1959,2,1959125,316.38,316.38,315.88,-1
1959,3,1959208,316.71,316.71,315.62,-1
1959,4,1959292,317.72,317.72,315.56,-1
1959,5,1959375,318.29,318.29,315.50,-1
1959,6,1959458,318.15,318.15,315.92,-1
1959,7,1959542,316.54,316.54,315.66,-1
1959,8,1959625,314.80,314.80,315.81,-1
1959,9,1959708,313.84,313.84,316.55,-1
1959,10,1959792,313.26,313.26,316.19,-1
1959,11,1959875,314.80,314.80,316.78,-1
1959,12,1959958,315.58,315.58,316.52,-1
1960,1,1960042,316.43,316.43,316.51,-1
1960,2,1960125,316.97,316.97,316.47,-1
1960,3,1960208,317.58,317.58,316.49,-1
1960,4,1960292,319.02,319.02,316.86,-1
1960,5,1960375,320.03,320.03,317.24,-1
1960,6,1960458,319.59,319.59,317.36,-1
1960,7,1960542,318.18,318.18,317.30,-1
1960,8,1960625,315.91,315.91,316.92,-1
1960,9,1960708,314.16,314.16,316.87,-1
1960,10,1960792,313.83,313.83,316.76,-1
1960,11,1960875,315.00,315.00,316.98,-1
1960,12,1960958,316.19,316.19,317.13,-1
1961,1,1961042,316.93,316.93,317.03,-1
1961,2,1961125,317.70,317.70,317.28,-1
1961,3,1961208,318.54,318.54,317.47,-1
1961,4,1961292,319.48,319.48,317.27,-1
1961,5,1961375,320.58,320.58,317.70,-1
1961,6,1961458,319.77,319.77,317.48,-1
1961,7,1961542,318.57,318.57,317.70,-1
1961,8,1961625,316.79,316.79,317.80,-1
1961,9,1961708,314.80,314.80,317.49,-1
1961,10,1961792,315.38,315.38,318.35,-1
1961,11,1961875,316.10,316.10,318.13,-1
1961,12,1961958,317.01,317.01,317.94,-1
1962,1,1962042,317.94,317.94,318.06,-1
1962,2,1962125,318.56,318.56,318.11,-1
1962,3,1962208,319.68,319.68,318.57,-1
1962,4,1962292,320.63,320.63,318.45,-1
1962,5,1962375,321.01,321.01,318.20,-1
1962,6,1962458,320.55,320.55,318.27,-1
1962,7,1962542,319.58,319.58,318.67,-1
1962,8,1962625,317.40,317.40,318.48,-1
1962,9,1962708,316.26,316.26,319.03,-1
1962,10,1962792,315.42,315.42,318.33,-1
1962,11,1962875,316.69,316.69,318.62,-1
1962,12,1962958,317.69,317.69,318.61,-1
1963,1,1963042,318.74,318.74,318.91,-1
1963,2,1963125,319.08,319.08,318.68,-1
1963,3,1963208,319.86,319.86,318.69,-1
1963,4,1963292,321.39,321.39,319.09,-1
1963,5,1963375,322.25,322.25,319.39,-1
1963,6,1963458,321.47,321.47,319.16,-1
1963,7,1963542,319.74,319.74,318.77,-1
1963,8,1963625,317.77,317.77,318.83,-1
1963,9,1963708,316.21,316.21,319.06,-1
